Дата, Время начала - Время окончания, Затрачено времени
26.04.2022, 16:27 - 18:05, 1 ч 38 мин
28.04.2022, 21:50 - 22:30, 40 мин
29.04.2022, 6:40 - 7:50, 1 ч 10 мин
02.05.2022, 1:30 - 2:30, 1 ч
03.05.2022, 23:45 - 24:00, 15 мин
04.05.2022, 00:00 - 1:00, 1 ч
06.05.2022, 1:30 - 3:00, 1 ч 30 мин
06.05.2022, 3:20  - 3:55, 35 мин
07.05.2022, 2:36 - 3:53, 1 ч 17 мин
09.05.2022, 23:30 - 0:00, 30 мин
10.05.2022, 1:45 - 2:00, 15 мин
10.05.2022, 2:50 - 3:50, 1 ч
11.05.2022, 21:00 - 21:30, 30 мин
11.05.2022, 23:40 - 00:00, 20 мин
12.05.2022, 1:10 - 2:00, 50 мин
12.05.2022, 2:45 - 3:10, 25 мин
12.05.2022, 7:00 - 9:50, 2 ч 50 мин
12.05.2022, 21:30 - 21:50, 20 мин
12.05.2022, 23:30 - 0:00, 30 мин
13.05.2022, 1:10 - 2:50, 1 ч 40 мин

В сумме: 18 ч 25 мин
